employee_id,first_name,last_name,sin,province,postal_code,pay_group,pay_frequency,hire_date,termination_date,effective_date,bank_institution,bank_transit,bank_account,td1_federal_claim_code,td1_provincial_claim_code,currency,language_code,employment_status
E1001,Alice,Nguyen,100000009,ON,M5V 2T6,CA-ON-BIWK,Bi-Weekly,2022-03-01,,2022-03-01,003,12345,123456789,1,1,CAD,EN,Active
E1002,Marc,Tremblay,100000017,QC,H2X 1Y4,CA-QC-BIWK,Bi-Weekly,2021-06-15,,2021-06-15,006,54321,987654321,3,3,CAD,FR,Active
E1003,Bad,SinFormat,1234567,ON,M4B 1B3,CA-ON-BIWK,Bi-Weekly,2023-01-10,,2023-01-10,003,11111,111111111,1,1,CAD,EN,Active
E1004,Bad,SinChecksum,123456789,ON,M4B 1B3,CA-ON-BIWK,Bi-Weekly,2023-01-10,,2023-01-10,003,11111,111111111,1,1,CAD,EN,Active
E1005,Bad,Province,100000025,XX,T5J 3N4,CA-AB-MTHLY,Monthly,2022-08-01,,2022-08-01,010,22222,222222222,0,0,CAD,EN,Active
E1006,Bad,PostalCode,100000033,BC,V6B,CA-BC-BIWK,Bi-Weekly,2022-11-01,,2022-11-01,004,33333,333333333,2,2,CAD,EN,Active
E1007,Bad,PayGroup,100000041,ON,M5V 2T6,CA-ON-WEEKLY,Bi-Weekly,2022-05-01,,2022-05-01,003,44444,444444444,1,1,CAD,EN,Active
E1008,Bad,PayFrequency,100000009,ON,M5V 2T6,CA-ON-BIWK,Fortnightly,2022-05-01,,2022-05-01,003,55555,555555555,1,1,CAD,EN,Active
E1009,Bad,DateOrder,100000017,QC,H2X 1Y4,CA-QC-BIWK,Bi-Weekly,2023-05-01,,2023-01-01,006,66666,666666666,1,1,CAD,FR,Active
E1010,Bad,TermDate,100000025,ON,M5V 2T6,CA-ON-BIWK,Bi-Weekly,2020-01-01,2019-12-31,2020-01-01,003,77777,777777777,1,1,CAD,EN,Active
E1011,Bad,ActiveTermMismatch,100000033,AB,T5J 3N4,CA-AB-MTHLY,Monthly,2020-01-01,2024-06-30,2020-01-01,010,88888,888888888,1,1,CAD,EN,Active
E1012,Bad,BankInstitution,100000041,ON,M5V 2T6,CA-ON-BIWK,Bi-Weekly,2022-05-01,,2022-05-01,3,99999,999999999,1,1,CAD,EN,Active
E1013,Bad,BankTransitAccount,100000009,QC,H2X 1Y4,CA-QC-BIWK,Bi-Weekly,2022-05-01,,2022-05-01,006,123,42,1,1,CAD,FR,Active
E1014,,MissingFirstName,100000017,ON,M5V 2T6,CA-ON-BIWK,Bi-Weekly,2022-05-01,,2022-05-01,003,10101,101010101,1,1,CAD,EN,Active
E1015,Bad,Currency,100000025,ON,M5V 2T6,CA-ON-BIWK,Bi-Weekly,2022-05-01,,2022-05-01,003,20202,202020202,1,1,USD,EN,Active
E1016,Bad,LanguageCode,100000033,QC,H2X 1Y4,CA-QC-BIWK,Bi-Weekly,2022-05-01,,2022-05-01,006,30303,303030303,1,1,CAD,DE,Active
E1017,Bad,TD1Code,100000041,AB,T5J 3N4,CA-AB-MTHLY,Monthly,2022-05-01,,2022-05-01,010,40404,404040404,15,15,CAD,EN,Active
